Ho,EP,EN,Year,Type,IT,,,,
625,50,-50,1927,O,Lemaitre,,,,
460,40,-50,1928,O,Robertson,,,,
500,50,-50,1929.046,A,Hubble 1929,,,,
558,50,-50,1931.18,A,Hubble and Humason 1931,,,,
290,290,-145,1931.914,O,Oort 1931,,,,
865,100,-100,1935.1,O,Eddington,,,,
524,50,-50,1936,O,Hubble 1936,,,,
260,170,-100,1951.08,O,Behr 1951,,,,
280,28,-28,1952.694,O,Baade,,,,
180,36,-36,1956.3,AS,Humason,,,,
75,25,-25,1958.35,AS,Sandage 1958,,,,
136,14,-14,1958,A,Holmberg 1958,,,,
120,25,-20,1960.27,AV,vandenBergh 1960,,,,
100,20,-17,1960,AV,vandenBergh 1960,,,,
125,5,-5,1960.79,O,Sersic 1960,,,,
130,30,-30,1961,O,McVittie,,,,
98,15,-15,1962.5,AS,Sandage 1961,,,,
79,12,-12,1968.164,G,Racine 1968,,,,
75,19,-15,1968.43,AS,Sandage 1968,,,,
95,15,-12,1970.104,AV,vandenBergh 1970,,,,
40,25,-13,1973,S,Branch,,,,
95,36,-36,1972.72,NV,vandenBergh 1972,,,,
60,15,-15,1974.71,2,Kirshner,,,,
55,9,-9,1974.912,OS,Sandage \& Tammann,,,,
57,6,-6,1974.957,OS,Sandage \& Tammann,,,,
57,3,-3,1975.169,OS,Sandage \& Tammann,,,,
59,4,-4,1975.291,OS,Sandage \& Tammann,,,,
95,15,-12,1975.5,AV,vandenBergh,,,,
55,5,-5,1975.52,AS,Sandage,,,,
41,3,-3,1976.67,O,Teerikorpi,,,,
76,8,-8,1976.708,O,Bottinelli \& Gougenheim 1976,,,,
50,4,-4,1976.875,BS,Sandage \& Tammann,,,,
80,8,-8,1977.175,B,Tully \& Fisher 1977,,,,
54,58,-28,1977.25,O,Noonan,,,,
49,2,-2,1977.624,OS,Visvanathan and Sandage 1977,,,,
49,9,-9,1977.42,S,Branch,,,,
52,2,-2,1977.5,AS,Tammann 1977,,,,
83,19,-19,1977.52,B,Heidmann 1977,,,,
76,8,-8,1977.54,B,Bottinelli \& Gouguenheim 1977,,,,
90,10,-10,1977.56,AV,deVaucouleurs,,,,
110,10,-10,1977.875,O,Lynden-Bell,,,,
85,9,-9,1978,NA,Sersic,,,,
51,2,-2,1979.128,O,Visvanathan,,,,
58,17,-5,1979.207,OK,Kennicutt,,,,
60,15,-10,1979.209,OK,Kennicutt,,,,
56,15,-15,1979.24,S,Branch,,,,
