#1,
abash,"To make ashamed; to embarrass 당혹스럽게 하다, 얼떨떨하게 하다"
abate,"To subside; to reduce 감소시키다, 무효로 하다"
abdicate,"To step down from a position of power or responsibility 포기하다, 퇴위하다, 사퇴하다"
aberration,"Something not typical; a deviation from the standard 탈선, 정신이상 "
abhor,"To hate very, very much; to detest 몹시 싫어하다, 혐오하다"
abject,"Hopeless; extremely sad and servile; defeated; utterly bummed out  비천한, 비열한, 비굴한(사람)"
abnegate,"To deny oneself things; to reject; to renounce 포기하다, 버리다, 자제하다"
abortive,"Unsuccessful 실패한; 유산의, 발육부진의"
abridge,"To shorten; to condense 요약하다; 축소하다, 단축하다; 제거하다"
absolute,"Total; unlimited; perfect 절대의, 무조건의, 전체적"
absolve,"To forgive or free from blame; to free from sin; to free from an obligation 용서하다, 사면하다, 방면하다 "
#2,
Abstinent,"Abstaining; voluntarily not doing something, especially something pleasant that is bad for you or has a bad reputation 절제하는, 금욕적인"
abstract,"Theoretical; impersonal 추상적인, 이상적인, 난해한"
abstruse,"Hard to understand 난해한, 심오한"
abysmal,"Extremely hopeless or wretched; bottomless 심연의, 끝없이 깊은"
accolade,"An award; an honor 나이트작 수여식; 명예, 표창"
accost,To approach and speak to someone 다가가서 말을 걸다
acerbic,"Bitter; sour; severe [맛이] 신, 신랄한"
acquiesce,To comply passively; to accept; to assent; to agree 묵인하다; 묵묵히 따르다
acrid,"Harsh; like acid 매운, 신랄한, 가혹한"
acrimonious,"Full of spite; bitter; nasty 신랄한, 엄한, 호된"
acumen,"Keenness of judgment; mental sharpness 예민, 날카로운 통찰력"
#3,
acute,"Sharp; shrewd 날카로운, 민감한"
adamant,"Stubborn; unyielding; completely inflexible 단단한, 견고한, 굳센"
address,"To speak to; to direct ones attention to [...에게] 말을 걸다, 연설하다' [항의 등을]제기/제출하다"
adherent,"Follower; supporter; believer 지지자, 당원, 신자; 부착력 있는, 들러붙는"
admonish,"To scold gently; to warn 훈계하다, 충고하다; 경고하다"
adroit,"Skillful; dexterous; clever; shrewd; socially at ease  교묘한, 솜씨있는; 기민한, 영리한"
adulation,"Wild or excessive admiration; flattery 아첨, 추종"
#4,
Adulterate,"To contaminate; to make impure 오염시키다, 더럽히다"
adverse,"Unfavorable; antagonistic 반대의, 거스르는, 어긋나는, 불리한"
aesthetic,"Having to do with artistic beauty; artistic 미의, 심미적인"
affable,"Easy to talk to; friendly 상냥한, 사근사근한, 붙임성 있는"
affectation,"Unnatural or artificial behavior, usually intended to impress  애정, 감정; 병, 성질"
affinity,"Sympathy; attraction; kinship; similarity 유사, 친화력, 좋아함"
affluent,"Rich; prosperous 풍부한, 부유한"
agenda,"Program; the things to be done 안건, 의사일정"
Agrarian,"Relating to land; relating to the management or farming of land  토지의, 경작지의, 농업의"
#5,
aggregate,"Sum total; a collection of separate things mixed together  모으다, 집합하다, 총계가 ...이 되다"
agnostic,One who believes that the existence of a god can be neither proven nor disproven 불가지론자
alacrity,"Cheerful eagerness or readiness to respond 민첩, 기민, 경쾌, 소탈함"
allege,"To assert without proof 단언하다; 변명하다, 우겨대다; 진술하다"
alleviate,"To relieve, usually temporarily or incompletely; to make bearable; to lessen 완화하다, 경감하다"
allocate,"To distribute; to assign; to allot 할당하다, 배분하다"
alloy,"A combination of two or more things, usually metals 합금, 혼합물"
#6,
Allusion,"An indirect reference (often to a literary work); a hint 암시, 빗댐, 언급(hint)"
aloof,"Uninvolved; standing off; keeping ones distance 멀리 떨어져서, 초연히; 무관심한, 쌀쌀한, 냉담함"
altruism,Selflessness; generosity; devotion to the interests of others 애타주의 이타주의
ambience,"Atmosphere; mood; feeling 환경, 분위기(mood)"
ambiguous,"Unclear in meaning; confusing; capable of being interpreted in different ways 중의적인, 두 가지 뜻으로 풀이되는; 분명하지 않은"
ambivalent,"Undecided; neutral; wishy-washy 아직 결정되지 않은; 중성의, 중립의; 묽은, 시시한"
#7,
Ameliorate,"To make better or more tolerable 개선하다, 개량하다; 좋아지다"
amenable,"Obedient; willing to give in to the wishes of another; agreeable 순종하는, 기꺼이 따르는; 쉽게 좌우되는"
amenity,"Pleasantness; attractive or comfortable feature 쾌적함, 즐거움, 쾌락; 부드러움"
amiable,"Friendly; agreeable 호감을 주는, 상냥한, 애교 있는"
amnesty,"An official pardon for a group of people who have violated a law or policy 사면, 대사, 특사; 사면하다"
amoral,"Lacking a sense of right and wrong; neither good nor bad, neither moral nor immoral; without moral feelings 초도덕의, 도덕과 관계없는"
amorous,"Feeling loving, especially in a sexual sense; in love relating to love 호색의, 요염한; 반해 있는"
amorphous,"Shapeless; without a regular or stable shape; bloblike  무정형의, 일정한 형태가 없는"
anachronism,"Something out of place in time or history; an incongruity  시대착오, 시대에 뒤떨어진 사람"
analogy,"A comparison of one thing to another; similarity 유사, 유추(similarity)"
#8,
Anarchy,"Absence of government or control; lawlessness; disorder 무정부, 무질서"
anecdote,"A short account of a humorous or revealing incident 일화, 기담; 비화"
anguish,"Agonizing physical or mental pain 고통, 번민, 고뇌; 괴로워하다"
animosity,"Resentment; hostility; ill will 적의, 원한, 악의"
anomaly,"An aberration; an irregularity; a deviation 변칙, 이상; 예외, 이례"
antecedent,"Someone or something that went before; something that provides a model for something that came after it 선행자, 선례; 조상; 앞서는, 전제의"
antipathy,"Firm dislike; a dislike (↔sympathy)반감, 혐오, 불일치; 싫어하는 사람이나 물건"
antithesis,The direct opposite 정반대
apartheid,The abhorrent policy of racial segregation and oppression in the Repubic of South Africa 인종차별
#9,
Apathy,"Lack of interest; lack of feeling 냉담, 무관심"
aphorism,"A brief, often witty saying; a proverb 격언"
apocalypse,"A prophetic revelation, especially one concerning the end of the world  묵시, 요한계시록"
apocryphal,"Of dubious authenticity; fictitious; spurious [저자, 작품 등의]작자나 전거가 의심스러운; [일반적으로] 가짜의"
apotheosis,Elevation to divine status; the perfect example of something 신격화
appease,"To soothe; to pacify by giving in to  진정시키다, 달래다, 유화하다; 갈등을 풀다, 양보하다"
appreciate,"To increase in value 가격이 오르다, 시세가 오르다; 감사(평가)하다"
apprehensive,"Worried; anxious 염려하는, 걱정하는"
#10,
Approbation,"Approval; praise 허가, 인가, 면허"
appropriate,"To take without permission; to set aside for a particular use  적당한, 어울리는, 특정한; 전유하다, 충당하다"
aptitude,"Capacity for learning; natural ability 적성, 소질, 재능; 적절함"
arbiter,"One who decides; a judge 중재인, 조정자; 결정적 요소"
arbitrary,"Random; capricious 임의의, 독단적인(random)"
arcane,"Mysterious; known only to a select few 비밀의, 불가사이의(mysterious)"
archaic,Extremely old; ancient; outdated 고풍의
#11,
Archetype,An original model or pattern     원형
ardent,"Passionate 열 렬한, 열심인, 타는 듯한(↔half-hearted)"
arduous,"Hard; difficult 힘드는, 고난의; 끈기 있는, 노력하는"
aristocratic,Of noble birth; snobbish  귀족의
artful,"Wily; sly 교묘한, 능수 능란한; 인위적인(=crafty)"
artifice,"A clever trick; cunning 고안, 기술, 궁리; 대책, 술책"
ascendancy,"Supremacy; domination 우월, 지배권, 주도권"
ascetic,"Hermitlike; practicing self-denial  금욕주의자, 금욕주의의"
assiduous,"Hardworking; busy; quite diligent 근면한, 꾸준히 힘쓰는, 부지런한"
#12,
assimilate,"To take in; to absorb; to learn thoroughly  동화하는, 동질화하다, 소화하다, 이해하다; 흡수하다"
assuage,"To soothe; to pacify; to ease the pain of; to relieve 진정시키다, 누그러뜨리다"
astute,"Shrewd; keen in judgment 기민한, 빈틈없는; 교활한"
attrition,"Gradual wearing away, weakening, or loss; a natural or expected decrease in numbers of size 마멸, 마찰, 마손, 감소, 축소"
audacity,Boldness; reckless daring; impertinence 대담; 대담한 행위
augment,"To make bigger; to add to; to increase 증가시키다, 늘리다; 늘다, 증대"
